"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5695","has title","chromium","Wed Jul 23 02:29:06 IST 2025","passed","Wed Jul 23 02:29:12 IST 2025","","example.spec.js","",""
"","1747","get started link","chromium","Wed Jul 23 02:29:12 IST 2025","passed","Wed Jul 23 02:29:14 IST 2025","","example.spec.js","",""
